hour,Load (kW)
1810,93.17
1811,93.17
1812,93.17
1813,93.17
1814,93.17
1815,93.17
1816,93.17
1817,93.17
1818,93.17
1819,108.17
1820,108.17
1821,108.17
1822,117.92
1823,117.92
1824,117.92
1825,117.92
1826,117.92
1827,117.92
1828,117.92
1829,117.92
1830,117.92
1831,93.17
1832,93.17
1833,93.17
1834,93.17
1835,93.17
1836,93.17
1837,93.17
1838,93.17
1839,93.17
1840,93.17
1841,93.17
1842,93.17
1843,108.17
1844,108.17
1845,108.17
1846,117.92
1847,117.92
1848,117.92
1849,117.92
1850,117.92
1851,117.92
1852,117.92
1853,117.92
1854,117.92
1855,93.17
1856,93.17
1857,106.73
1858,106.73
1859,106.731208022918
1860,106.73
1861,106.73
1862,106.73
1863,106.73
1864,106.73
1865,106.73
1866,106.73
1867,110.67
1868,110.67
1869,110.67
1870,117.92
1871,117.92
1872,117.92
1873,117.92
1874,117.92
1875,117.92
1876,117.92
1877,117.92
1878,117.92
1879,93.17
1880,93.17
1881,106.73
1882,106.73
1883,107.292167789847
1884,106.73
1885,106.73
1886,106.73
1887,106.73
1888,106.73
1889,106.73
1890,106.73
1891,110.67
1892,110.67
1893,110.67
1894,117.92
1895,117.92
1896,117.92
1897,117.92
1898,117.92
1899,117.92
1900,117.92
1901,117.92
1902,117.92
1903,93.17
1904,93.17
1905,106.73
1906,106.73
1907,107.369754197307
1908,106.73
1909,106.73
1910,106.73
1911,106.73
1912,106.73
1913,106.73
1914,106.73
1915,110.67
1916,110.67
1917,110.67
1918,117.92
1919,117.92
1920,117.92
1921,117.92
1922,117.92
1923,117.92
1924,117.92
1925,117.92
1926,117.92
1927,93.17
1928,93.17
1929,106.73
1930,106.73
1931,108.586341288213
1932,109.556993826131
1933,112.427760158904
1934,110.491771252215
1935,111.796303622044
1936,109.035589794085
1937,107.811278984624
1938,106.745381389784
1939,110.67
1940,110.67
1941,110.67
1942,117.92
1943,117.92
1944,117.92
1945,117.92
1946,117.92
1947,117.92
1948,117.92
1949,117.92
1950,117.92
1951,93.17
1952,93.17
1953,106.73
1954,106.73
1955,107.249260598232
1956,106.73
1957,106.732849513752
1958,106.73
1959,107.032773184151
1960,107.219784802878
